nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Cafe Aroma Paninoteca,"1520, rue Fleury E",Ahuntsic-Cartierville,,(514) 387-0841,1,Café,Sandwichs,Déjeuner,Salades,Desserts et Sucreries,,
Kahwa Café,"331, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 564-2111,1,Café,Sandwichs,Bagels,Couscous,,,
Sodhm,"5976, ave. de Monkland",Notre-Dame-de-Grâce (NDG),,(514) 484-8888,1,Coréenne,,,,,,
Lockhart,"3979, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 379-1208,1.5,Tapas,,,,,,
Banh Mi 79,"79A, rue Ste-Catherine E.",Quartier des Spectacles,,(514) 840-7507,1,Vietnamienne,Sandwichs,,,,,
L'Ancêtre,"5370, chemin de Chambly",Saint-Hubert,Longueuil,(450) 678-5630,2.5,Française,Tartare,,,,,
Iguanas Ranas,"1486, rue de l'Église",Ahuntsic-Cartierville,,(514) 747-0800,1,Mexicaine,,,,,,
Ta Pies,"4520, ave. du parc",Outremont,Mile-End,(514) 277-7437,1,Australienne,Réconfort,Desserts et Sucreries,,,,
Manchu Wok,"7999, boul. des Galeries D'Anjou",Anjou-St-Léonard,Montréal-Est,(514) 354-2998,1,Chinoise,,,,,,
La Baraque du Vieux St-Vincent,"401, rue Saint-Vincent",Vieux-Montréal,,(514) 224-1000,2,Pub Food,Burgers,Pizza,Grillades,Sandwichs,Poutine,Salades
Siwar,"825, boul. de la cote-Vertu",Ville Saint-Laurent,,(514) 748-5800,2,Libanaise,Moyen Orientale,,,,,
Hakata Ramen,"1216, rue Stanley suite 200",Centre-ville,,(514) 759-6688,1,Japonaise,Asiatique,Ramen,,,,
Nana Traiteur,"209, rue Notre Dame O",Vieux-Montréal,,(514) 270-8883,1.5,Internationale,,,,,,
La boite à burger - Burger Box,"513, rue de l'Eglise",Verdun/Lasalle,,(514) 903-9940,1,Burgers,,,,,,
Paninneria Da Marco,"8758, boul. Langelier",Anjou-St-Léonard,,(514) 323-2994,1,Italienne,Sandwichs,Salades,,,,
Le Diplomate,"129, rue Beaubien",Mile-Ex,Mile-End,(514) 303-9727,2,Marché,,,,,,
Sweet Lee's,"4150, rue Wellington",Verdun/Lasalle,,(514) 846-9318,1,Café,Desserts et Sucreries,Sandwichs,Salades,Pizza,Végétarienne,
Dundees Bar & Grill,"2010, rue Crescent",Rue Crescent,Centre-ville,(514) 985-2625,2,Grillades,Burgers,Fruits de mer/Poissons,Pâtes,Barbecue-BBQ,Sandwichs,Salades
Lubie,"120, rue Richelieu",St-Jean-Sur-Richelieu,,(450) 358-5988,2,Française,Fusion,Tartare,,,,
Chez Nick,"1377, ave. Greene",Westmount,,(514) 935-0946,1,Bistro,Déjeuner,Sandwichs,,,,
Haru Hana,"912, boul. de Maisonneuve E.",Le Village/Centre Sud,,(514) 903-5005,1,Coréenne,Japonaise,Asiatique,Fusion,,,
Café Expresso Lina,"1874, rue Jean-Talon E",Villeray-Saint-Michel,,(514) 593-0684,1,Café,,,,,,
Edward Smoked Meat,"680, rue de Montbrun",Boucherville,,(450) 906-3744,1,Smoked Meat,Poutine,,,,,
Uni Sushi,"3918A, boul. Taschereau",Greenfield Park,Longueuil,(450) 672-8228,1,Japonaise,Sushi,,,,,
Restaurant Mysore,"4216, boul. St-Laurent",Mile-End,Le Plateau-Mont-Royal,(514) 844-4733,1.5,Indienne,Pakistanaise,,,,,
Utopia Eco-Café,"265, rue Aberdeen",Sherbrooke,,(819) 791-3121,1,Bio,Café,,,,,
Chef Kong,"237A, rue Ste-Catherine",Saint-Constant,,(450) 635-5727,1,Szechuannaise,Thaïlandaise,,,,,
Chez Chen,"1618, ave. Lincoln",Centre-ville,,(514) 933-6888,1,Chinoise,Végétarienne,,,,,
L'Atelier Montréal de Joël Robuchon,"1, ave du Casino de Montréal",Parc-des-Iles,,n/a,,Française,Contemporaine/Moderne,,,,,
Bob's Grill Bar,"1800, boul. Arthur-Sauvé",Laval-Ouest,,(450) 627-2627,1,Burgers,Grilled Cheese,Grillades,Pizza,Pâtes,Déjeuner,Poutine
Crêperie Les Copains D'Abord,"3284, 4e Avenue",Rawdon,,(450) 834-7654,2,Crêperie,Déjeuner,Café,,,,
Le Patio Bar Laitier,"836,  ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 524-0792,1,Crème glacée,,,,,,
Bistro Bon Goût,"642, rue De Courcelle",Saint-Henri,Le Sud Ouest,(514) 507-8075,1,Déjeuner,Sandwichs,Végétarienne,,,,
Le Feu de Bois,"1126, boul de Sainte-Adèle",Sainte-Adèle,,(450) 229-0200,1,Pizza,,,,,,
L'Ancrage,"1150, rue Principale O",Magog,,(819) 843-6521,2.5,Française,Tartare,,,,,
Café Time Square,"4871, rue Jarry E.",Anjou-St-Léonard,,(514) 658-0999,1,Café,,,,,,
Fuzion D'Asie,"11906, rue Notre-Dame E",RDP-Pointe-aux-Trembles,,(514) 645-2978,1,Chinoise,Vietnamienne,,,,,
l'Ecarté Café,"2525, rue de Rouen",Hochelaga-Maisonneuve,,(514) 521-3443,1,Café,,,,,,
Resto-Bar Bouchard,"520, boul. Richelieu",Richelieu,,(450) 658-5112,1,Poutine,Réconfort,,,,,
Rolando,"3451, rue Fleury E.",Villeray-Saint-Michel,Ahuntsic-Cartierville,(514) 328-8694,1,Créole,Cajun,,,,,
Cuisine Xiang,"4424, rue Wellington",Verdun/Lasalle,,(514) 762-4335,1,Chinoise,,,,,,
Restaurant Sens,"1228, rue Nobel",Boucherville,Longueuil,(450) 655-4939,2.5,Bistro,Du Terroir,Internationale,Déjeuner,Tartare,,
Le Petit Paysan,"350, rue St-Paul E.",Vieux-Montréal,,(514) 395-0585,2,Du Terroir,,,,,,
La Fringale,"100, boul. Sir-Wilfrid-Laurier",Beloeil,McMasterville,(450) 536-1713,1,Poutine,Burgers,Réconfort,,,,
Jarry Smoked Meat,"6549, rue Jarry E",Anjou-St-Léonard,Montréal-Est,(514) 322-3220,1,Deli,Sandwichs,Burgers,Smoked Meat,Poutine,,
Junis,"3362, boul. Grande-Allée",Saint-Hubert,Longueuil,(450) 812-3455,2,Coréenne,Japonaise,Sushi,,,,
La Première,"4622, rue de Verdun",Verdun/Lasalle,,(514)-767-6760,1,Grecque,Fruits de mer/Poissons,,,,,
Chez Patrice,"390, rue Montcalm",Berthierville,,(450) 836-4044,1,Réconfort,Poutine,,,,,
Jay C's Deli & Bar,"6202, chemin de Chambly",Saint-Hubert,Longueuil,(450) 656-7422,1,Deli,Pub Food,,,,,
Café Ville Chinoise,"3231, rue Beaubien E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 722-5858,1,Chinoise,,,,,,
L'Espiègle,"1834, rue des Cascades O",Saint-Hyacinthe,,(450) 778-1551,2,Du Terroir,Marché,Sandwichs,,,,
OM,"4382, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 287-3553,2,Tibétaine,Indienne,,,,,
Pho Cali,"1011, boul. St-Laurent",Quartier Chinois,Centre-ville,(514) 876-1064,1,Vietnamienne,Asiatique,,,,,
Le Café des Chats,"3435, rue St-Denis",Quartier Latin,Rue St-Denis,(514) 289-2429,1,Café,Desserts et Sucreries,,,,,
Pouding Café,"1227A, rue Amherst",Le Village/Centre Sud,,(514) 510-7991,1,Réconfort,Café,Sandwichs,,,,
Eduardo Duluth,"404, ave. Duluth E",Le Plateau-Mont-Royal,Avenue Duluth,(514) 843-3330,1,Italienne,,,,,,
Café du Nouveau Monde,"84, rue Ste-Catherine O",Centre-ville,Quartier des Spectacles,(514) 866-8669,2,Café,Bistro,,,,,
Le Saloon Bistro Bar,"1333, rue Ste-Catherine E",Le Village/Centre Sud,,(514) 522-1333,2,Internationale,Grillades,Burgers,Salades,Fusion,Déjeuner,
Omma,"177, rue Bernard O",Mile-End,Outremont,(514) 274-1464,1.5,Coréenne,,,,,,
Morgane de la Montagne,"1232, rue de la Montagne",Centre-ville,,(514) 392-1970,1.5,Bistro,Réconfort,,,,,
Burger Royal,"3820, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 282-0002,1,Burgers,,,,,,
L'Artiste Affamé,"3692, rue St-Denis",Le Plateau-Mont-Royal,,(514) 303-9398,1,Café,Desserts et Sucreries,,,,,
Souvenir d'Angkor,"117, rue Valmont",Repentigny,,(450) 657-9132,1.5,Cambodgienne,Thaïlandaise,Vietnamienne,,,,
Escape,"9086, boul. St-Michel",Villeray-Saint-Michel,,(514) 387-1387,1,Péruvienne,Latino Américaine,,,,,
La Tamalera,"226, ave. Fairmount O",Mile-End,Le Plateau-Mont-Royal,(438) 381-5034,1,Mexicaine,Sandwichs,,,,,
Trois Coeurs,"8640, ave. Chaumont",Anjou-St-Léonard,,(514) 352-9109,1,Déjeuner,Américaine,Pizza,,,,
Jardin Nelson,"407, Place Jacques-Cartier",Vieux-Montréal,,(514) 861-5731,2,Crêperie,Déjeuner,Internationale,Sandwichs,Grilled Cheese,,
Pizza Toscana,"285, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 564-4144,1,Pizza,Réconfort,Sandwichs,Salades,Poutine,,
Rumeur,"325, chemin du Bord-du-Lac-Lakeshore",Pointe-Claire,,(514) 505-4242,1,Desserts et Sucreries,,,,,,
Le Nouveau Paragon,"6491, rue Beaubien E",Anjou-St-Léonard,Montréal-Est,(514) 254-4444,2,Pâtes,Pizza,,,,,
Les Agitateurs Gourmands,"6522, boul. St-Laurent",Rosemont-Petite-Patrie,,(514) 276-2513,1,Sandwichs,Deli,Française,Bistro,Tartare,,
Joe Smoked Meat,"357, rue St-Charles O",Longueuil,,(579) 721-4242,,Smoked Meat,Deli,Pâtes,Sandwichs,Salades,Pizza,Poutine
Vincenzo Pizzeria,"4, ave. des Prairies",Notre-Dame-des-Prairies,,(450) 759-4443,1,Pizza,Déjeuner,,,,,
Zesto Express,"17, boul. Samson",Sainte-Dorothée,Chomedey,(450) 314-5144,1,Pizza,Sandwichs,Pâtes,Burgers,,,
Yuan,"2115, rue Saint-Denis",Quartier Latin,Quartier des Spectacles,(514) 848-0513,1,Créative,Végétarienne,Vietnamienne,,,,
Délicieux Veg Fusion Café,"5718, ave. du Parc",Mile-End,Le Plateau-Mont-Royal,(514) 379-1279,1.5,Végétarienne,Végétalienne,Bio,Santé,Café,Déjeuner,Sandwichs
Pub 481,"481, rue de Frontenac RR 3",Berthierville,,(450) 836-1938,1,Pub Food,,,,,,
Le Mondo Bistro Lounge,"283, rue Saint-Georges",Saint-Jérôme,,(450) 592-1241,1,Bistro,,,,,,
La Mini Van,"3546, boul. de la Concorde E",Duvernay,,(450) 665-5353,1,Asiatique,Vietnamienne,,,,,
Picks,"1407, rue St-Marc",Centre-ville,,(514) 937-1937,1,Burgers,Réconfort,,,,,
Glow,"1281A, ave. Van Horne",Outremont,Mile-End,(514) 947-4569,1.5,Bar à jus et smoothies,Salades,Desserts et Sucreries,Végétalienne,Végétarienne,,
Green Stop,"6150, boul. Monk",Ville-Émard,Le Sud Ouest,(514) 362-9393,1,Deli,Smoked Meat,Poutine,Pizza,Sandwichs,Grillades,
Pho Ong Rau,"300, rue Jarry E",Villeray-Saint-Michel,Parc-Extension,(514) 903-7722,1,Vietnamienne,Asiatique,,,,,
Internationale Zapartiste,"2381, rue St-Zotique E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 282-0911,2,Internationale,,,,,,
Peg N Tikka,"2, rue Sherbrooke E.",Centre-ville,,(514) 844-1222,,Indienne,,,,,,
GaNaDaRa,"1862, boul. de Maisonneuve",Centre-ville,,(514) 933-2288,1,Coréenne,Asiatique,Ramen,,,,
Le Cerbère Resto-Pub,"313, rue St-Georges",Saint-Jérôme,,(450) 431-3333,1.5,Irlandaise,Du Terroir,Bistro,Fish & Chips,Grillades,,
Bazar Café,"278, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 573-7640,1.5,Déjeuner,Café,Salades,Sandwichs,,,
Ô Liban (Oliban),"1170, chemin de Chambly",Longueuil,Vieux Longueuil,(450) 677-2801,1,Libanaise,Moyen Orientale,Végétarienne,,,,
L'Oeuf Doré,"1185, Chemin Du Tremblay",Longueuil,Vieux Longueuil,(450) 468-9919,1,Déjeuner,Américaine,,,,,
Pub Victoria,"698, rue Notre Dame O",Vieux-Montréal,,(514) 864-5060,1.5,Irlandaise,Pub Food,Fish & Chips,Grillades,Salades,Burgers,
Tacos Tin Tan,"3828, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 992-6664,1,Mexicaine,,,,,,
Lapin Blanc,"4456, rue St-Catherine E.",Hochelaga-Maisonneuve,,(514) 303-2014,2,Canadienne,Éclectique,Gibier Sauvage,,,,
Marquis Bar & Grill,"6700, route Transcanadienne",Pointe-Claire,,(514) 697-7110,2.5,Internationale,Salades,Sandwichs,Grillades,,,
Wok D'Or Express,"1550, boul. de la Côte-Vertu",Ville Saint-Laurent,,(438) 380-1362,1,Thaïlandaise,Vietnamienne,Asiatique,,,,
La Corniche,"7086, boul. St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(514) 271-3666,1.5,Tunisienne,Méditerranéenne,Moyen Orientale,Halal,,,
Café Bistro Bobby Mcgee,"3213, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(514) 526-7668,1,Café,Bistro,,,,,
Nutrimania,"16, rue Rachel E",Le Plateau-Mont-Royal,,(514) 507-4616,1,Santé,Végétalienne,Salades,Déjeuner,Bio,Café,Végétarienne
Cacique Grill,"1, ave. du Mont-Royal O.",Le Plateau-Mont-Royal,,(514) 439-7720,1,Latino Américaine,Grillades,Vénézuélienne,Déjeuner,Burgers,Sandwichs,Végétarienne
Café-Bistro Toquoi,"1525, ave. Van Horne",Outremont,,(514) 271-3113,1,Sandwichs,Végétarienne,Café,Déjeuner,Bar à jus et smoothies,,
M.R Azteca,"7349, rue St-Hubert",Villeray-Saint-Michel,,(438) 935-0805,1,Mexicaine,,,,,,
Les Délices de l'Erable,"84, rue St-Paul E",Vieux-Montréal,,(514) 765-3456,1,Bistro,Du Terroir,Crème glacée,,,,
Hokkaido Sushi,"99, boul. des Hauts-Bois",Sainte-Julie,,(450) 649-9993,2,Sushi,,,,,,
Sushito,"1654, rue Bélanger",Villeray-Saint-Michel,,(514) 727-2764,1,Sushi,,,,,,
Maison June Rose,"16, avenue des Pins E",Le Plateau-Mont-Royal,,(514) 439-7054,2,Chinoise,,,,,,
St-Adèle Sushi,"555, boul. De Sainte-Adele",Sainte-Adèle,,(450) 229-8388,1.5,Sushi,,,,,,
Sushi Kaede Lounge,"343, rue Saint-Paul E",Vieux-Montréal,,(514) 543-8274,2,Japonaise,Sushi,,,,,
Léché Desserts,"640, rue de Courcelle",Saint-Henri,,(514) 805-5600,1,Desserts et Sucreries,Sandwichs,,,,,
El Chalateco,"520, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 272-5585,2,Latino Américaine,Salvadorienne,Fruits de mer/Poissons,,,,
Restaurant Sizzle,"2468, rue Jean-Talon E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 727-0404,1.5,Grillades,Portugaise,Italienne,Pâtes,Sandwichs,,
Tre Marie,"6934, rue Clark",Mile-Ex,Petite-Italie,(514) 277-9859,2,Italienne,,,,,,
Asiatique Plus,"3711, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 288-9593,1,Asiatique,,,,,,
Amigo,"1027, boul. St-Laurent",Quartier Chinois,,(514) 393-8998,1,Asiatique,,,,,,
Crêperie Du Westmount Square,"1, Carré Omount",Westmount,,(514) 846-8877,1,Crêperie,,,,,,
Les Étoiles,"6244, boul. Monk",Ville-Émard,Le Sud Ouest,(514) 508-2047,1,Chinoise,Végétalienne,Grillades,,,,
Oregon,"241, boul. Curé-Labelle",Sainte-Rose,,(579) 641-1414,3,Française,,,,,,
Brossard Bagel,"8265, boul. Taschereau",Brossard,,(450) 443-8777,1,Bagels,Sandwichs,Déjeuner,,,,
Engaufrez-vous,"8, rue Rachel E",Le Plateau-Mont-Royal,,(514) 845-7070,1,Déjeuner,Créative,,,,,
Maïs,"5439, boul. St-Laurent",Mile-End,Boul. St-Laurent/Main,(514) 507-7740,1,Mexicaine,Latino Américaine,,,,,
Patate Ben-Venue,"1365, route 117",Mont-Tremblant,,(819) 425-8592,1,Casse-Croute,Poutine,,,,,
Reuben's Deli & Steaks,"1116, rue Ste-Catherine O",Centre-ville,,(514) 866-1029,2.5,Steakhouse,Smoked Meat,Deli,Déjeuner,,,
Pagaille!,"101, rue Villeneuve O.",Le Plateau-Mont-Royal,,(514) 563-1636,1,Café,Sandwichs,Salades,Déjeuner,Végétarienne,Végétalienne,
Filoti Pizzeria,"206, rue Jarry E",Villeray-Saint-Michel,,(514) 381-8176,1,Pizza,,,,,,
Barbecue Mirabel BBQ,"13957, boul. Curé Labelle",Mirabel,,(450) 430-7490,1,Barbecue-BBQ,Grillades,Pizza,Deli,,,
Tunnel Espresso Bar,"1253, ave. McGill College",Centre-ville,,(514) 882-5288,1,Café,Desserts et Sucreries,Sandwichs,,,,
Rose Ross,"3017, rue Masson",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 379-1900,2,Marché,Du Terroir,,,,,
Chez L'Épicier,"311, rue St-Paul E",Vieux-Montréal,,(514) 878-2232,3,Du Terroir,Française,Internationale,Éclectique,Tartare,,
Joe Beef,"2491, rue Notre-Dame O",Petite-Bourgogne,Le Sud Ouest,(514) 935-6504,3,Fruits de mer/Poissons,Marché,Steakhouse,Gibier Sauvage,,,
La Trinquette,"290, rue Champlain",St-Jean-Sur-Richelieu,,(450) 349-1811,1,Bistro,Sandwichs,,,,,
Tamaki,"349, rue St-Georges",Saint-Jérôme,,(450) 504-8899,2,Asiatique,Sushi,Grillades,Fusion,Chinoise,Thaïlandaise,Vietnamienne
Casa del Popolo,"4873, boul. St-Laurent",Le Plateau-Mont-Royal,,(514) 284-3804,2,Italienne,Végétarienne,Salades,,,,
Sushi Hana,"3211, chemin De Chambly",Longueuil,Vieux Longueuil,(450) 646-2226,2,Sushi,Japonaise,,,,,
Hamburger Plus,"1616, rue Ste-Catherine O",Centre-ville,,(514) 989-0007,1,Burgers,Américaine,,,,,
Galaxie Pizza,"5404, ave. Clarendon",Chomedey,Sainte-Dorothée,(450) 687-1616,1,Pizza,Réconfort,,,,,
Hotdogeria,"2101, rue Rachel E",Le Plateau-Mont-Royal,,(514) 525-5962,1,Américaine,Déjeuner,Sandwichs,Grilled Cheese,,,
Kampaï Beer Garden,"1616, rue Ste-Catherine O.",Centre-ville,,(514) 379-6161,3,Asiatique,,,,,,
Eau Tronc Sucré,"12100, route Sir Wilfrid Laurier",Mirabel,,(450) 858-3910,2,Cabane à sucre,,,,,,
4 Saisons,"1104, rue Ontario E",Le Village/Centre Sud,,(514) 524-8808,1,Sushi,Japonaise,,,,,
Avesta,"2077, rue Ste-Catherine O.",Centre-ville,,(514) 937-0156,1,Turque,Café,Sandwichs,Végétarienne,,,
Runa,"4641, rue Ste-Catherine E",Hochelaga-Maisonneuve,Montréal-Est,(514) 255-2226,1,Américaine,Déjeuner,Poutine,,,,
Roselina,"1000, rue De La Gauchetière O.",Centre-ville,,(514) 876-4373,3,Italienne,Internationale,,,,,
Trattoria Il Ritrovo,"2895, rue Fleury E",Montréal-Nord,,(514) 383-9097,2,Italienne,,,,,,
Pho MC,"8200, boul. Taschereau",Brossard,,(450) 904-0660,2,Vietnamienne,Asiatique,,,,,
Nora Gray,"1391, rue St Jacques",Griffintown,Le Sud Ouest,(514) 419-6672,1,Italienne,,,,,,
Caribbean Lunch,"5475, ave. Royalmount",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(514) 638-1636,,Afghane,,,,,,
Barbecue Doré,"3392, rue Jean-Talon E.",Villeray-Saint-Michel,,(514) 313-7153,1,Barbecue-BBQ,Salades,Burgers,Poutine,Pâtes,Sandwichs,Pizza
Tandoori Taste,"4878, boul. des Sources",Dollard-des-Ormeaux,,(514) 684-2333,1,Indienne,,,,,,
Sumac,"3618, rue Notre Dame O",Saint-Henri,,(514) 935-1444,1,Moyen Orientale,,,,,,
Bar Sportif l'Échappée,"6615, Chemin de la Côte-de-Liesse",Ville Saint-Laurent,,(514) 341-1011,1.5,Pub Food,Salades,Sandwichs,Poutine,Burgers,Grillades,Fish & Chips
Les Cocottes,"51, rue Beaubien",Petite-Italie,Rosemont-Petite-Patrie,(514) 276-5880,2,Internationale,,,,,,
La Dent Sucrée,"925, chemin Fresnière",Saint-Eustache,,(450) 623-0062,2.5,Cabane à sucre,,,,,,
Soba & Sushi Bar,"5227, rue Sherbrooke O",Côte-des-Neiges,,(514) 482-6883,1,Sushi,Japonaise,Chinoise,Szechuannaise,,,
Mirada,"3310, boul. de la Cote-Vertu",Ville Saint-Laurent,,(514) 332-6111,1.5,Internationale,Steakhouse,,,,,
Les Super Nouilles - Super Noodles,"5397, chemin de la Cote-Saint-Luc",Côte-Saint-Luc,Côte-des-Neiges,(514) 484-2228,1,Chinoise,Asiatique,Szechuannaise,,,,
Sushi JinJin,"29, rue St-Viateur W.",Mile-End,,(438) 386-7447,2,Sushi,Japonaise,,,,,
Sucrerie à l'Eau d'Érable,"7870, rang St-Vincent",Mirabel,,(450) 258-3633,1.5,Cabane à sucre,,,,,,
Marco Bar & Grill,"82, rue Sainte-Anne",Sainte-Anne-de-Bellevue,,(514) 505-3850,2,Grillades,Fruits de mer/Poissons,Sandwichs,Salades,Pizza,,
Bistro Louis XIV aurait aimé...,"1600, rue Montarville",Saint-Bruno-de-Montarville,,(450) 723-1249,3,Française,Bistro,Tartare,,,,
Marché Hung Phat,"7099, rue St-Denis",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 272-1332,1,Vietnamienne,Sandwichs,Deli,Végétarienne,,,
Wah-Do,"4054, rue Ste-Catherine E",Hochelaga-Maisonneuve,Montréal-Est,(514) 524-3917,1,Chinoise,Szechuannaise,,,,,
Pitaya Maya,"4720, boul. St-Jean",Pierrefonds-Roxboro,,(514) 620-1233,2,Mexicaine,Latino Américaine,,,,,
Mon Nan Village,"43, Rue de la Gauchetiere",Quartier Chinois,,(514) 866-7123,2,Chinoise,Asiatique,Szechuannaise,,,,
Le Maître Chocolatier,"1612, rue Sherbrooke O",Centre-ville,,(514) 544-9475,2.5,Maison de thé,Desserts et Sucreries,Chocolaterie,,,,
Deli Miami,"3090, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(514) 525-0600,1,Deli,,,,,,
Café Aragon,"1497, rue Galt O",Sherbrooke,,(819) 820-0142,1.5,Santé,Sandwichs,Salades,,,,
Jack-O Coquelicot,"5156, boul. Bourque",Sherbrooke,,(819) 821-3139,1.5,Italienne,Déjeuner,,,,,
Avec plaisirs traiteur,"2, rue de la Commune O",Vieux-Montréal,,(514) 272-1511,1,Française,Tartare,,,,,
Mayfair,"451, ave. Rachel",Le Plateau-Mont-Royal,,(514) 647-4055,1.5,Contemporaine/Moderne,,,,,,
Le Bambou Vert (Bambouvert),"1225, boul. Cure-Poirier O",Longueuil,Vieux Longueuil,(450) 748-1501,1,Asiatique,Chinoise,,,,,
Pastamore,"11644, boul. de Salaberry",Dollard-des-Ormeaux,,(514) 683-0006,1,Italienne,,,,,,
Rotisserie Diamond,"125, boul. Arthur-Sauvé",Saint-Eustache,,(450) 473-6891,1,Rôtisserie,Pizza,,,,,
Ciel Bleu,"437, boul Cartier O.",Laval-des-Rapides,,(450) 688-0233,1,Pizza,Sandwichs,Poutine,Déjeuner,,,
Mazza,"5788, Grande Allée",Saint-Hubert,,(450) 676-5000,1,Pizza,Sandwichs,Poutine,Grillades,,,
La Brume Dans Mes Lunettes,"378, rue St-Zotique E",Petite-Italie,Rosemont-Petite-Patrie,(438) 880-4979,1,Café,Maison de thé,Bistro,,,,
Z Biztro,"6349, rue St-Hubert",Rosemont-Petite-Patrie,,(514) 507-9747,2,Bistro,Tapas,Pizza,,,,
La Cabane à Danny,"52A, rue de la Gauchetière O.",Quartier Chinois,Centre-ville,,1,Asiatique,Crêperie,Desserts et Sucreries,,,,
Vung Tau Express,"7475, boul. Newman local #35A",Verdun/Lasalle,,(514) 367-4991,1,Vietnamienne,,,,,,
Raj Mahal,"1404, chemin de St-Jean",La Prairie,,(450) 659-2020,1.5,Indienne,,,,,,
Fat Mardis,"3035, chemin de la Chapelle",Mont-Tremblant,,(819) 681-2439,1.5,Réconfort,Fish & Chips,Salades,Barbecue-BBQ,Burgers,Créole,
Bambou D'Or,"605, rue Principale",Sainte-Dorothée,Laval-Ouest,(450) 969-5240,1.5,Vietnamienne,Asiatique,Santé,Grillades,Végétarienne,,
L'ASSOMMOIR Vieux Sainte-Julie,"611, rue St-Joseph",Sainte-Julie,,(514) 272-0777,2,Tapas,Méditerranéenne,Internationale,Fusion,Fruits de mer/Poissons,,
Fang Chi,"3967, rue St-Antoine O",Saint-Henri,Le Sud Ouest,(514) 933-7421,1,Chinoise,,,,,,
Ambala,"3887, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 499-0446,1.5,Indienne,Végétarienne,Végétalienne,,,,
Cafe Sufi,"2070, boul. de Maisonneuve O",Centre-ville,,(514) 989-8383,1,Sandwichs,Café,Déjeuner,,,,
Sophie Sucrée,"167, ave. des Pins E.",Le Plateau-Mont-Royal,,(514) 823-5865,1,Desserts et Sucreries,Végétalienne,Sandwichs,Crème glacée,,,
Manneken Pis,"320, rue Champlain",St-Jean-Sur-Richelieu,,(450) 348-3254,1,Café,Sandwichs,Bistro,,,,
Yakimono,"4210, boul. Décarie",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(514) 484-1515,2,Sushi,Cacher,,,,,
Nouilles Etc,"6666, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(514) 251-8883,1,Chinoise,Asiatique,Végétarienne,Fruits de mer/Poissons,,,
L'Omnibouffe,"660, rue Bowen S",Sherbrooke,,(819) 823-5337,1,Déjeuner,Canadienne,,,,,
La Succursale,"3188, rue Masson",Vieux-Rosemont,Rosemont-Petite-Patrie,(514) 508-1615,1,Pub Food,Bistro,Sandwichs,,,,
Restaurant Zen,"372, boul De L'Ange Gardien",L'Assomption,,(450) 589-9929,2,Asiatique,Japonaise,Vietnamienne,,,,
Cucina di Papa,"418, Côte de Terrebonne",Terrebonne/Lachenaie,,(450) 964-4462,1.5,Italienne,Pizza,Sandwichs,Pâtes,Salades,,
Shawarma Plaza,"2006, rue St-Hubert",Quartier Latin,Le Village/Centre Sud,(514) 285-5556,1,Libanaise,Réconfort,Méditerranéenne,Halal,,,
Maison Chez Bong,"1021B, boul. St-Laurent",Quartier Chinois,Centre-ville,(514) 396-7779,2,Coréenne,Asiatique,Barbecue-BBQ,,,,
Chez NatGio's & Charlie,"654, Chemin Bord de l'Eau",Sainte-Dorothée,Laval-Ouest,(450) 314-5060,2,Italienne,,,,,,
Prohibition,"5700, ave. de Monkland",Monkland Village,Notre-Dame-de-Grâce (NDG),(514) 481-8466,1.5,Bistro,Réconfort,,,,,
Aux Deux Bouchees,"2271, chemin des Patriotes",Richelieu,,(450) 447-9555,2,Française,Marché,Tartare,,,,
Le Montréal (Montréal Casino),"1, ave. du Casino",Parc-des-Iles,,(514) 392-0909ext:2709,2.5,Contemporaine/Moderne,Grillades,,,,,
Dinga Grille,"624, rue Jarry O.",Parc-Extension,Villeray-Saint-Michel,(514) 272-5021,1.5,Indienne,Pakistanaise,Halal,Réconfort,,,
